Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%
GODFRYPHLP,365,3159.78,69.11
GODREJAGRO,30,610.49,50.57
GODREJAGRO,180,612.2,55.77
GODREJAGRO,365,605.45,30.5
GODREJCP,30,689.42,48.5
GODREJCP,180,686.43,44.28
GODREJCP,365,679.47,55.08
GODREJIND,30,840.57,54.89
GODREJIND,180,836.0,56.02
GODREJIND,365,801.11,50.51
GODREJPROP,30,1323.05,32.16
GODREJPROP,180,1309.07,33.15
GODREJPROP,365,1274.66,42.16
GPIL,30,653.21,72.15
GPIL,180,652.34,67.76
GPIL,365,647.3,60.69
GPPL,30,139.05,67.56
GPPL,180,149.21,74.3
GPPL,365,152.29,63.56
GRANULES,30,481.15,64.03
GRANULES,180,501.13,66.28
GRANULES,365,513.96,59.35
GRAPHITE,30,618.74,41.02
GRAPHITE,180,625.94,45.04
GRAPHITE,365,648.38,49.69
GRINDWELL,30,2333.17,60.75
GRINDWELL,180,2417.44,56.45
GRINDWELL,365,2589.13,64.92
GRINFRA,30,1704.44,64.44
GRINFRA,180,1792.48,69.49
GRINFRA,365,1794.48,51.19
GSFC,30,116.63,42.84
GSFC,180,115.5,41.06
GSFC,365,117.27,14.33
GSPL,30,246.15,31.29
GSPL,180,247.21,20.45
GSPL,365,247.52,0.0
GUJGASLTD,30,487.89,0.0
GUJGASLTD,180,513.82,45.8
GUJGASLTD,365,530.83,34.44
HAL,30,3426.91,56.21
HAL,180,3491.5,52.8
HAL,365,3853.16,65.11
HAPPSTMNDS,30,1008.77,66.15
HAPPSTMNDS,180,982.89,63.61
HAPPSTMNDS,365,982.48,76.02
HAVELLS,30,781.83,53.08
HAVELLS,180,782.75,57.99
HAVELLS,365,770.11,55.07
HBLENGINE,30,231.6,67.06
HBLENGINE,180,243.82,67.78
HBLENGINE,365,248.51,68.07
HCLTECH,30,1314.33,49.32
HCLTECH,180,1342.37,51.22
HCLTECH,365,1420.89,63.32
HDFCAMC,30,3609.44,68.32
HDFCAMC,180,3550.19,28.78
HDFCAMC,365,3527.69,0.0
HDFCBANK,30,2287.76,69.31
HDFCBANK,180,2367.39,66.59
HDFCBANK,365,2366.03,62.47
HDFCLIFE,30,690.51,66.22
HDFCLIFE,180,698.14,66.83
HDFCLIFE,365,688.06,59.5
HEG,30,2520.44,53.66
HEG,180,2500.6,57.9
HEG,365,2534.8,54.1
HFCL,30,50.74,46.32
HFCL,180,51.73,43.82
HFCL,365,52.23,45.56
HINDALCO,30,529.06,68.67
HINDALCO,180,517.65,66.84
HINDALCO,365,515.27,70.12
HINDCOPPER,30,134.74,0.0
HINDCOPPER,180,137.19,0.0
HINDCOPPER,365,139.42,0.0
HINDPETRO,30,276.92,0.0
HINDPETRO,180,276.77,0.0
HINDPETRO,365,274.59,0.0
HINDUNILVR,30,2394.44,69.54
HINDUNILVR,180,2450.06,69.89
HINDUNILVR,365,2501.12,63.35
HINDZINC,30,406.23,66.83
HINDZINC,180,394.83,44.76
HINDZINC,365,386.32,8.1
HONASA,30,442.57,61.55
HONASA,180,501.35,44.61
HONASA,365,566.87,51.75
HSCL,30,304.52,67.73
HSCL,180,299.82,69.22
HSCL,365,284.1,49.89
HUDCO,30,109.28,47.31
HUDCO,180,110.85,50.53
HUDCO,365,105.67,33.6
ICICIBANK,30,1046.15,52.62
ICICIBANK,180,1044.9,42.66
ICICIBANK,365,1066.58,55.02
ICICIPRULI,30,597.56,56.43
ICICIPRULI,180,593.19,53.92
ICICIPRULI,365,591.89,50.02
IDBI,30,47.51,30.36
IDBI,180,47.5,26.09
IDBI,365,46.9,34.94
IDEA,30,19.94,35.99
IDEA,180,20.7,27.68
IDEA,365,20.78,34.25
IDFCFIRSTB,30,37.2,56.12
IDFCFIRSTB,180,39.13,51.26
IDFCFIRSTB,365,38.8,53.65
IEX,30,306.32,48.26
IEX,180,338.99,56.47
IEX,365,356.33,54.33
IFCI,30,27.97,64.24
IFCI,180,26.96,43.89
IFCI,365,27.46,47.8
IGL,30,432.65,57.32
IGL,180,436.27,46.44
IGL,365,434.04,34.44
IIFL,30,633.71,65.37
IIFL,180,664.01,66.47
IIFL,365,694.52,62.66
INDGN,30,634.34,0.0
INDGN,180,645.65,0.0
INDGN,365,656.38,0.0
INDHOTEL,30,601.34,66.05
INDHOTEL,180,629.86,59.4
INDHOTEL,365,675.88,65.51
INDIACEM,30,259.65,45.6
INDIACEM,180,257.56,46.93
INDIACEM,365,264.51,58.92
INDIAMART,30,6707.09,62.85
INDIAMART,180,7116.5,61.78
INDIAMART,365,7441.08,56.14
INDIANB,30,428.41,65.1
INDIANB,180,487.5,74.89
INDIANB,365,494.65,62.45
INDIGO,30,3190.81,58.68
INDIGO,180,3265.84,56.95
INDIGO,365,3190.41,47.09
INDUSINDBK,30,1407.45,49.93
INDUSINDBK,180,1433.87,57.36
INDUSINDBK,365,1423.42,43.04
INDUSTOWER,30,234.32,22.37
INDUSTOWER,180,230.75,43.4
INDUSTOWER,365,236.3,0.0
INFY,30,1180.16,24.13
INFY,180,1138.87,61.66
INFY,365,1171.22,36.22
INOXINDIA,30,1181.84,39.04
INOXINDIA,180,1267.95,52.39
INOXINDIA,365,1360.51,54.47
INOXWIND,30,210.18,66.14
INOXWIND,180,209.47,58.6
INOXWIND,365,199.32,50.18
INTELLECT,30,841.83,57.58
INTELLECT,180,911.36,63.57
INTELLECT,365,942.16,60.68
IOB,30,53.21,64.63
IOB,180,50.92,52.74
IOB,365,52.09,53.06
IOC,30,113.39,7.2
IOC,180,113.65,7.33
IOC,365,113.69,0.0
IPCALAB,30,1330.59,67.12
IPCALAB,180,1345.31,70.07
IPCALAB,365,1356.74,67.75
IRB,30,180.88,55.65
IRB,180,179.61,38.39
IRB,365,192.23,53.63
IRCON,30,114.6,68.15
IRCON,180,115.96,61.02
IRCON,365,121.07,59.15
IRCTC,30,893.54,61.07
IRCTC,180,885.66,0.0
IRCTC,365,885.96,0.0
ISEC,30,653.75,58.38
ISEC,180,656.78,52.56
ISEC,365,658.86,49.34
ITC,30,310.26,0.0
ITC,180,308.45,0.0
ITC,365,307.86,0.0
ITI,30,292.74,53.37
ITI,180,286.14,51.45
ITI,365,301.31,56.78
J&KBANK,30,68.48,69.26
J&KBANK,180,75.61,72.5
J&KBANK,365,80.29,63.42
JBCHEPHARM,30,1465.17,61.17
JBCHEPHARM,180,1450.71,44.35
JBCHEPHARM,365,1438.64,28.97
JBMA,30,1244.93,55.65
JBMA,180,1205.54,50.61
JBMA,365,1267.07,55.13
