Date,Sales,Ticker
2018-03-31,6621.2,INDUSTOWER
2018-07-02,6621.2,INDUSTOWER
2018-07-25,6724.8,INDUSTOWER
2018-10-24,6786.3,INDUSTOWER
2019-01-23,6823.2,INDUSTOWER
2019-03-31,6823.2,INDUSTOWER
2019-04-24,6826.2,INDUSTOWER
2019-07-01,6826.2,INDUSTOWER
2019-07-24,6854.6,INDUSTOWER
2019-10-21,6802.7,INDUSTOWER
2020-01-30,6736.7,INDUSTOWER
2020-03-31,6736.7,INDUSTOWER
2020-04-23,6743.0,INDUSTOWER
2020-07-13,6743.0,INDUSTOWER
2020-07-27,6653.0,INDUSTOWER
2020-10-22,6751.1,INDUSTOWER
2021-01-28,9144.6,INDUSTOWER
2021-03-31,9144.6,INDUSTOWER
2021-04-22,13954.3,INDUSTOWER
2021-07-13,13954.3,INDUSTOWER
2021-07-29,19115.9,INDUSTOWER
2021-10-25,24226.0,INDUSTOWER
2022-01-27,27092.7,INDUSTOWER
2022-03-31,27092.7,INDUSTOWER
2022-05-05,27717.2,INDUSTOWER
2022-08-02,27817.5,INDUSTOWER
2022-10-27,28907.6,INDUSTOWER
2023-01-24,28745.2,INDUSTOWER
2023-03-31,28745.2,INDUSTOWER
2023-04-26,28381.8,INDUSTOWER
2023-07-27,28560.4,INDUSTOWER
2023-08-10,28560.4,INDUSTOWER
2023-10-25,27726.3,INDUSTOWER
2024-01-23,28160.3,INDUSTOWER
2024-03-31,28160.3,INDUSTOWER
2024-04-30,28600.6,INDUSTOWER
2024-07-30,28907.7,INDUSTOWER
2024-08-09,28907.7,INDUSTOWER
2024-10-22,29240.5,INDUSTOWER
2025-01-23,29588.9,INDUSTOWER
2005-12-31,8884.0,INFY
2006-03-31,9521.0,INFY
2006-04-27,9521.0,INFY
2006-06-30,10465.0,INFY
2006-09-30,11622.0,INFY
2006-12-31,12745.0,INFY
2007-03-31,13893.0,INFY
2007-04-23,13893.0,INFY
2007-06-30,14651.0,INFY
2007-09-30,15306.0,INFY
2007-12-31,15922.0,INFY
2008-03-31,16692.0,INFY
2008-04-15,16692.0,INFY
2008-06-30,17773.0,INFY
2008-09-30,19085.0,INFY
2008-12-31,20600.0,INFY
2009-03-31,21693.0,INFY
2009-04-15,21693.0,INFY
2009-06-30,22311.0,INFY
2009-09-30,22478.0,INFY
2009-12-31,22433.0,INFY
2010-03-31,22742.0,INFY
2010-04-13,22742.0,INFY
2010-06-30,23468.0,INFY
2010-09-30,24830.0,INFY
2010-12-31,26195.0,INFY
2011-03-31,27501.0,INFY
2011-04-15,27501.0,INFY
2011-07-12,28788.0,INFY
2011-10-12,29940.0,INFY
2012-01-12,32132.0,INFY
2012-03-31,32132.0,INFY
2012-04-13,33734.0,INFY
2012-07-12,35865.0,INFY
2012-10-12,37624.0,INFY
2013-01-11,38750.0,INFY
2013-03-31,38750.0,INFY
2013-04-12,40352.0,INFY
2013-07-12,42003.0,INFY
2013-10-11,45110.0,INFY
2014-01-10,47712.0,INFY
2014-03-31,50133.0,INFY
2014-04-16,50133.0,INFY
2014-06-30,51636.0,INFY
2014-09-30,52013.0,INFY
2014-12-31,52783.0,INFY
2015-03-31,53319.0,INFY
2015-04-25,53319.0,INFY
2015-06-30,54903.0,INFY
2015-09-30,57196.0,INFY
2015-12-31,59302.0,INFY
2016-03-31,62441.0,INFY
2016-06-30,64869.0,INFY
2016-09-30,66544.0,INFY
2016-12-31,67915.0,INFY
2017-03-31,68485.0,INFY
2017-05-24,68484.0,INFY
2017-06-30,68781.0,INFY
2017-09-30,69038.0,INFY
2018-01-12,69559.0,INFY
2018-03-31,69559.0,INFY
2018-04-13,70522.0,INFY
2018-04-21,70522.0,INFY
2018-07-13,72572.0,INFY
2018-10-16,75614.0,INFY
2019-01-11,79220.0,INFY
2019-03-31,79220.0,INFY
2019-04-12,82676.0,INFY
2019-04-16,82675.0,INFY
2019-06-12,82675.0,INFY
2019-10-11,87371.0,INFY
2020-01-10,89063.0,INFY
2020-03-31,89063.0,INFY
2020-04-20,90791.0,INFY
2020-04-21,90791.0,INFY
2020-07-15,92653.0,INFY
2020-10-14,94594.0,INFY
2021-01-13,97429.0,INFY
2021-03-31,97429.0,INFY
2021-04-14,100473.0,INFY
2021-04-16,100472.0,INFY
2021-07-14,104704.0,INFY
2021-10-13,109736.0,INFY
2022-01-12,115676.0,INFY
2022-03-31,115676.0,INFY
2022-04-13,121641.0,INFY
2022-04-15,121641.0,INFY
2022-07-24,128215.0,INFY
2022-10-13,135151.0,INFY
2023-01-12,141602.0,INFY
2023-03-31,141602.0,INFY
2023-04-13,146767.0,INFY
2023-04-17,146767.0,INFY
2023-07-20,150230.0,INFY
2023-10-12,152686.0,INFY
2024-01-11,153189.0,INFY
2024-03-31,153189.0,INFY
2024-04-18,153671.0,INFY
2024-04-20,153670.0,INFY
2024-07-18,155053.0,INFY
2024-10-17,157045.0,INFY
2025-01-16,159988.0,INFY
2024-02-13,965.9,INOXINDIA
2024-03-31,965.9,INOXINDIA
2024-05-13,965.9,INOXINDIA
2024-05-22,1131.17,INOXINDIA
2024-08-09,1121.25,INOXINDIA
2024-11-08,1170.16,INOXINDIA
2025-02-07,1213.1,INOXINDIA
2015-06-30,3049.47,INOXWIND
2015-09-10,3049.47,INOXWIND
2015-09-30,3522.61,INOXWIND
2015-12-31,3540.54,INOXWIND
2016-03-31,4450.67,INOXWIND
2016-06-30,4241.76,INOXWIND
2016-09-06,4241.76,INOXWIND
2016-09-30,4025.66,INOXWIND
2016-12-31,4235.96,INOXWIND
2017-03-31,3415.0,INOXWIND
2017-06-30,3086.0,INOXWIND
2017-09-06,3086.0,INOXWIND
2017-11-04,2365.34,INOXWIND
2018-02-02,1295.65,INOXWIND
2018-03-31,1295.65,INOXWIND
2018-05-18,479.84,INOXWIND
2018-06-20,464.96,INOXWIND
2018-08-07,804.3,INOXWIND
2018-11-05,1161.45,INOXWIND
2019-02-08,1461.3,INOXWIND
2019-03-31,1461.3,INOXWIND
2019-05-18,1437.44,INOXWIND
2019-08-09,1266.58,INOXWIND
2019-08-26,1266.58,INOXWIND
2019-11-08,968.53,INOXWIND
2020-02-07,750.49,INOXWIND
2020-03-31,750.49,INOXWIND
2020-06-27,760.19,INOXWIND
2020-08-28,597.27,INOXWIND
2020-09-01,597.27,INOXWIND
2020-11-06,629.75,INOXWIND
2021-02-12,660.81,INOXWIND
2021-03-31,660.81,INOXWIND
2021-06-25,710.73,INOXWIND
2021-08-13,783.42,INOXWIND
2021-09-08,783.42,INOXWIND
2021-10-14,778.17,INOXWIND
2022-02-11,726.4,INOXWIND
2022-03-31,726.4,INOXWIND
2022-05-27,624.63,INOXWIND
2022-08-12,665.89,INOXWIND
2022-09-10,665.89,INOXWIND
2022-12-02,607.16,INOXWIND
