Date,OPM,Ticker
2010-06-30,94.34,TATAINVEST
2010-09-30,97.79,TATAINVEST
2010-12-31,95.63,TATAINVEST
2011-03-31,85.69,TATAINVEST
2011-06-30,90.77,TATAINVEST
2011-09-30,96.93,TATAINVEST
2011-12-31,93.33,TATAINVEST
2012-03-31,80.32,TATAINVEST
2012-06-30,90.49,TATAINVEST
2012-09-30,95.29,TATAINVEST
2012-12-31,92.59,TATAINVEST
2013-03-31,89.93,TATAINVEST
2013-06-30,93.35,TATAINVEST
2013-09-30,95.87,TATAINVEST
2013-12-31,93.13,TATAINVEST
2014-03-31,81.88,TATAINVEST
2014-06-30,93.04,TATAINVEST
2014-09-30,95.92,TATAINVEST
2014-12-31,92.92,TATAINVEST
2015-03-31,86.39,TATAINVEST
2015-06-30,92.12,TATAINVEST
2015-09-30,96.01,TATAINVEST
2015-12-31,89.29,TATAINVEST
2016-03-31,87.28,TATAINVEST
2016-06-30,91.34,TATAINVEST
2016-09-30,96.64,TATAINVEST
2016-12-31,87.28,TATAINVEST
2017-03-31,50.38,TATAINVEST
2017-06-30,82.31,TATAINVEST
2017-09-30,91.92,TATAINVEST
2017-12-31,87.66,TATAINVEST
2018-03-31,74.06,TATAINVEST
2018-06-30,80.74,TATAINVEST
2018-09-30,94.44,TATAINVEST
2018-12-31,57.45,TATAINVEST
2019-03-31,-16.98,TATAINVEST
2019-06-30,80.66,TATAINVEST
2019-09-30,92.12,TATAINVEST
2019-12-31,80.93,TATAINVEST
2020-03-31,-169.83,TATAINVEST
2020-06-30,70.39,TATAINVEST
2020-09-30,94.5,TATAINVEST
2020-12-31,82.26,TATAINVEST
2021-03-31,22.74,TATAINVEST
2021-06-30,90.79,TATAINVEST
2021-09-30,91.71,TATAINVEST
2021-12-31,88.74,TATAINVEST
2022-03-31,55.89,TATAINVEST
2022-06-30,89.27,TATAINVEST
2022-09-30,93.84,TATAINVEST
2022-12-31,83.91,TATAINVEST
2023-03-31,72.87,TATAINVEST
2023-06-30,94.29,TATAINVEST
2023-09-30,91.88,TATAINVEST
2023-12-31,87.36,TATAINVEST
2024-03-31,86.31,TATAINVEST
2024-06-30,91.92,TATAINVEST
