Date,GPM,Ticker
2021-12-31,95.3,IRCTC
2022-03-31,94.31,IRCTC
2022-06-30,94.18,IRCTC
2022-09-30,94.48,IRCTC
2022-12-31,94.26,IRCTC
2023-03-31,95.0,IRCTC
2023-06-30,93.07,IRCTC
2023-09-30,94.42,IRCTC
2023-12-31,93.82,IRCTC
2024-03-31,95.53,IRCTC
2024-06-30,91.98,IRCTC
2024-09-30,94.21,IRCTC
2024-12-31,94.49,IRCTC
2022-12-31,100.0,IREDA
2023-03-31,100.0,IREDA
2023-06-30,100.0,IREDA
2023-09-30,100.0,IREDA
2023-12-31,100.0,IREDA
2024-03-31,100.0,IREDA
2024-06-30,100.0,IREDA
2024-09-30,100.0,IREDA
2024-12-31,100.0,IREDA
2019-12-31,100.0,IRFC
2020-03-31,100.0,IRFC
2020-06-30,100.0,IRFC
2020-09-30,100.0,IRFC
2020-12-31,100.0,IRFC
2021-03-31,100.0,IRFC
2021-06-30,100.0,IRFC
2021-09-30,100.0,IRFC
2021-12-31,100.0,IRFC
2022-03-31,100.0,IRFC
2022-06-30,100.0,IRFC
2022-09-30,100.0,IRFC
2022-12-31,100.0,IRFC
2023-03-31,100.0,IRFC
2023-06-30,100.0,IRFC
2023-09-30,100.0,IRFC
2023-12-31,100.0,IRFC
2024-03-31,100.0,IRFC
2024-06-30,100.0,IRFC
2024-09-30,100.0,IRFC
2024-12-31,100.0,IRFC
2007-03-31,100.0,ISEC
2007-12-31,100.0,ISEC
2008-03-31,100.0,ISEC
2017-03-31,100.0,ISEC
2017-06-30,100.0,ISEC
2017-09-30,100.0,ISEC
2017-12-31,100.0,ISEC
2018-03-31,100.0,ISEC
2018-06-30,100.0,ISEC
2018-09-30,100.0,ISEC
2018-12-31,100.0,ISEC
2019-03-31,100.0,ISEC
2019-06-30,100.0,ISEC
2019-09-30,100.0,ISEC
2019-12-31,100.0,ISEC
2020-03-31,100.0,ISEC
2020-06-30,100.0,ISEC
2020-09-30,100.0,ISEC
2020-12-31,100.0,ISEC
2021-03-31,100.0,ISEC
2021-06-30,100.0,ISEC
2021-09-30,100.0,ISEC
2021-12-31,100.0,ISEC
2022-03-31,100.0,ISEC
2022-06-30,100.0,ISEC
2022-09-30,100.0,ISEC
2022-12-31,100.0,ISEC
2023-03-31,100.0,ISEC
2023-06-30,100.0,ISEC
2023-09-30,100.0,ISEC
2023-12-31,100.0,ISEC
2024-03-31,100.0,ISEC
2024-06-30,100.0,ISEC
2024-09-30,100.0,ISEC
2024-12-31,100.0,ISEC
2005-03-31,60.51,ITC
2005-06-30,61.4,ITC
2005-09-30,62.93,ITC
2005-12-31,59.32,ITC
2006-03-31,54.78,ITC
2006-06-30,56.82,ITC
2006-09-30,57.8,ITC
2006-12-31,58.37,ITC
2007-03-31,55.86,ITC
2007-06-30,57.4,ITC
2007-09-30,55.47,ITC
2007-12-31,61.93,ITC
2008-03-31,54.37,ITC
2008-06-30,54.15,ITC
2008-09-30,59.91,ITC
2008-12-31,60.68,ITC
2009-03-31,59.83,ITC
2009-06-30,63.76,ITC
2009-09-30,63.75,ITC
2009-12-31,63.56,ITC
