Date,EBITDA,Ticker
2016-07-12,2590.05,TATACOMM
2016-09-30,2509.96,TATACOMM
2017-01-22,3920.98,TATACOMM
2017-03-31,3920.98,TATACOMM
2017-05-04,4763.05,TATACOMM
2017-06-07,4750.48,TATACOMM
2017-07-25,4691.01,TATACOMM
2017-09-30,4691.01,TATACOMM
2017-10-25,4593.89,TATACOMM
2018-02-08,3208.58,TATACOMM
2018-03-31,3208.58,TATACOMM
2018-05-10,2671.88,TATACOMM
2018-07-17,2671.47,TATACOMM
2018-08-09,2648.7,TATACOMM
2018-09-30,2648.7,TATACOMM
2018-11-01,2693.85,TATACOMM
2019-01-30,2868.8,TATACOMM
2019-03-31,2868.8,TATACOMM
2019-05-08,2805.11,TATACOMM
2019-07-09,2797.35,TATACOMM
2019-08-02,3059.75,TATACOMM
2019-09-30,3059.75,TATACOMM
2019-11-08,3264.15,TATACOMM
2020-01-22,3177.19,TATACOMM
2020-03-31,3177.19,TATACOMM
2020-06-13,3358.63,TATACOMM
2020-07-30,3580.66,TATACOMM
2020-08-07,3580.66,TATACOMM
2020-09-30,3580.66,TATACOMM
2020-10-16,3971.08,TATACOMM
2021-01-19,4250.62,TATACOMM
2021-03-31,4250.62,TATACOMM
2021-04-28,4417.34,TATACOMM
2021-06-08,4371.25,TATACOMM
2021-08-04,4360.24,TATACOMM
2021-09-30,4360.24,TATACOMM
2021-10-20,4275.88,TATACOMM
2022-01-19,4322.84,TATACOMM
2022-03-31,4322.84,TATACOMM
2022-04-21,4558.81,TATACOMM
2022-06-07,4553.14,TATACOMM
2022-07-20,4870.43,TATACOMM
2022-09-30,4870.43,TATACOMM
2022-10-18,4887.4,TATACOMM
2023-01-23,4894.23,TATACOMM
2023-03-31,4894.23,TATACOMM
2023-04-19,4681.38,TATACOMM
2023-06-26,4675.32,TATACOMM
2023-07-19,4583.03,TATACOMM
2023-09-30,4583.03,TATACOMM
2023-10-19,4457.6,TATACOMM
2024-01-18,4509.59,TATACOMM
2024-03-31,4509.59,TATACOMM
2024-04-17,4526.88,TATACOMM
2024-06-25,4503.14,TATACOMM
2024-07-18,4464.76,TATACOMM
2024-09-30,4464.76,TATACOMM
2024-10-17,4563.29,TATACOMM
2025-01-22,4612.87,TATACOMM
2005-12-31,585.73,TATACONSUM
2006-03-31,601.11,TATACONSUM
2006-06-30,624.5,TATACONSUM
2006-07-22,624.5,TATACONSUM
2006-09-30,637.66,TATACONSUM
2006-12-31,733.06,TATACONSUM
2007-03-31,785.12,TATACONSUM
2007-06-30,799.21,TATACONSUM
2007-07-26,799.21,TATACONSUM
2007-09-30,818.59,TATACONSUM
2007-12-31,829.13,TATACONSUM
2008-03-31,816.1,TATACONSUM
2008-06-30,792.19,TATACONSUM
2008-08-04,792.19,TATACONSUM
2008-09-30,775.31,TATACONSUM
2008-12-31,709.77,TATACONSUM
2009-03-31,650.58,TATACONSUM
2009-06-30,671.14,TATACONSUM
2009-08-17,671.14,TATACONSUM
2009-09-30,687.69,TATACONSUM
2009-12-31,717.44,TATACONSUM
2010-03-31,773.65,TATACONSUM
2010-06-30,739.91,TATACONSUM
2010-08-06,739.91,TATACONSUM
2010-09-30,669.86,TATACONSUM
2010-12-31,642.93,TATACONSUM
2011-03-31,659.23,TATACONSUM
2011-08-03,706.13,TATACONSUM
2011-08-10,655.06,TATACONSUM
2011-10-28,675.58,TATACONSUM
2012-01-25,691.91,TATACONSUM
2012-03-31,691.91,TATACONSUM
2012-05-23,717.57,TATACONSUM
2012-07-23,779.94,TATACONSUM
2012-08-13,779.94,TATACONSUM
2012-10-31,804.39,TATACONSUM
2013-01-31,821.26,TATACONSUM
