Date,BookValue,Ticker
2018-03-31,651.3,GRASIM
2018-05-23,651.3,GRASIM
2018-08-13,651.3,GRASIM
2018-08-24,844.3,GRASIM
2018-09-30,823.11,GRASIM
2018-11-14,823.11,GRASIM
2019-02-07,823.11,GRASIM
2019-03-31,844.3,GRASIM
2019-05-24,844.3,GRASIM
2019-07-26,853.73,GRASIM
2019-08-14,853.73,GRASIM
2019-09-30,839.42,GRASIM
2019-11-14,839.42,GRASIM
2020-02-10,839.3,GRASIM
2020-03-31,853.73,GRASIM
2020-06-13,853.73,GRASIM
2020-08-13,853.73,GRASIM
2020-08-24,833.07,GRASIM
2020-09-30,886.19,GRASIM
2020-11-12,886.06,GRASIM
2021-02-12,886.06,GRASIM
2021-03-31,833.07,GRASIM
2021-05-24,833.07,GRASIM
2021-08-04,963.01,GRASIM
2021-08-13,963.01,GRASIM
2021-09-30,1038.45,GRASIM
2021-11-12,1038.29,GRASIM
2022-02-14,1037.99,GRASIM
2022-03-31,963.01,GRASIM
2022-05-24,963.01,GRASIM
2022-08-09,1112.55,GRASIM
2022-08-12,1112.55,GRASIM
2022-09-30,1124.48,GRASIM
2022-11-14,1124.48,GRASIM
2023-02-14,1124.32,GRASIM
2023-03-31,1112.56,GRASIM
2023-05-26,1112.56,GRASIM
2023-07-28,1157.12,GRASIM
2023-08-10,1157.12,GRASIM
2023-09-30,1222.19,GRASIM
2023-11-13,1222.19,GRASIM
2024-02-08,1222.19,GRASIM
2024-03-31,1157.14,GRASIM
2024-05-22,1157.14,GRASIM
2024-07-23,1346.32,GRASIM
2024-08-09,1346.32,GRASIM
2024-09-30,1411.09,GRASIM
2024-11-14,1411.09,GRASIM
2025-02-10,1411.03,GRASIM
2008-04-02,25.27,GRINDWELL
2008-12-31,25.27,GRINDWELL
2009-04-06,27.82,GRINDWELL
2010-03-31,27.82,GRINDWELL
2010-07-10,32.1,GRINDWELL
2011-03-31,32.1,GRINDWELL
2011-07-05,36.15,GRINDWELL
2012-03-31,36.15,GRINDWELL
2012-07-04,41.66,GRINDWELL
2013-03-31,41.66,GRINDWELL
2013-07-01,46.63,GRINDWELL
2013-07-24,46.63,GRINDWELL
2013-12-31,46.63,GRINDWELL
2014-03-31,46.63,GRINDWELL
2014-06-30,46.63,GRINDWELL
2014-07-01,50.4,GRINDWELL
2014-09-30,54.79,GRINDWELL
2014-10-22,54.79,GRINDWELL
2014-12-31,54.79,GRINDWELL
2015-03-31,50.4,GRINDWELL
2015-06-30,50.4,GRINDWELL
2015-07-09,55.63,GRINDWELL
2015-09-30,60.29,GRINDWELL
2015-12-31,60.29,GRINDWELL
2016-03-31,55.63,GRINDWELL
2016-06-30,55.63,GRINDWELL
2016-07-05,68.94,GRINDWELL
2016-09-30,74.41,GRINDWELL
2017-02-20,74.41,GRINDWELL
2017-03-31,71.44,GRINDWELL
2017-05-23,71.44,GRINDWELL
2017-07-01,80.66,GRINDWELL
2017-07-26,80.66,GRINDWELL
2017-09-30,81.78,GRINDWELL
2017-11-01,81.78,GRINDWELL
2018-02-02,81.78,GRINDWELL
2018-03-31,80.66,GRINDWELL
2018-05-30,80.66,GRINDWELL
2018-06-30,89.46,GRINDWELL
2018-07-26,89.46,GRINDWELL
2018-09-30,90.99,GRINDWELL
2018-11-01,90.99,GRINDWELL
2019-02-04,90.99,GRINDWELL
2019-03-31,89.46,GRINDWELL
2019-05-29,89.46,GRINDWELL
2019-06-28,99.16,GRINDWELL
2019-07-25,99.16,GRINDWELL
2019-09-30,100.51,GRINDWELL
2019-11-05,100.51,GRINDWELL
2020-02-04,100.51,GRINDWELL
2020-03-31,99.16,GRINDWELL
2020-05-20,99.16,GRINDWELL
2020-07-02,107.24,GRINDWELL
2020-08-04,107.24,GRINDWELL
2020-09-30,107.19,GRINDWELL
2020-10-30,107.19,GRINDWELL
2021-01-29,107.19,GRINDWELL
2021-03-31,107.24,GRINDWELL
2021-05-07,107.24,GRINDWELL
2021-07-05,123.27,GRINDWELL
2021-07-28,123.27,GRINDWELL
2021-09-30,126.07,GRINDWELL
2021-11-03,126.07,GRINDWELL
2022-02-03,126.07,GRINDWELL
2022-03-31,123.27,GRINDWELL
2022-05-06,123.27,GRINDWELL
2022-07-05,141.66,GRINDWELL
2022-07-29,141.66,GRINDWELL
2022-09-30,146.09,GRINDWELL
2022-11-02,146.09,GRINDWELL
2023-02-13,146.09,GRINDWELL
2023-03-31,141.66,GRINDWELL
2023-05-06,141.66,GRINDWELL
2023-07-20,163.1,GRINDWELL
2023-08-14,163.1,GRINDWELL
2023-09-30,166.56,GRINDWELL
2023-11-08,166.56,GRINDWELL
2024-02-03,166.56,GRINDWELL
2024-03-31,163.1,GRINDWELL
2024-05-06,163.1,GRINDWELL
2024-06-26,185.63,GRINDWELL
2024-07-18,185.63,GRINDWELL
2024-09-30,185.81,GRINDWELL
2024-10-30,185.81,GRINDWELL
2025-02-13,185.81,GRINDWELL
2021-11-12,453.93,GRINFRA
2022-02-10,453.93,GRINFRA
2022-03-31,453.93,GRINFRA
2022-05-27,497.56,GRINFRA
2022-07-30,497.56,GRINFRA
2022-08-09,497.56,GRINFRA
2022-09-30,574.13,GRINFRA
2022-11-10,574.13,GRINFRA
2023-02-13,574.13,GRINFRA
2023-03-31,497.56,GRINFRA
2023-05-18,497.56,GRINFRA
2023-08-10,497.56,GRINFRA
2023-09-02,647.97,GRINFRA
2023-09-30,702.66,GRINFRA
2023-11-09,702.66,GRINFRA
2024-02-12,702.66,GRINFRA
2024-03-31,647.97,GRINFRA
2024-05-29,647.97,GRINFRA
2024-08-01,647.97,GRINFRA
2024-08-19,785.18,GRINFRA
2024-09-30,821.68,GRINFRA
2024-11-07,821.41,GRINFRA
2025-02-01,821.25,GRINFRA
2006-09-04,32.06,GSFC
2007-03-31,32.06,GSFC
2007-09-01,38.93,GSFC
2014-03-31,38.93,GSFC
2015-03-31,38.93,GSFC
2015-08-21,113.07,GSFC
2016-03-31,113.07,GSFC
2016-08-22,139.15,GSFC
2017-03-31,139.15,GSFC
2017-08-18,166.11,GSFC
2018-03-31,166.11,GSFC
2018-08-28,183.28,GSFC
2018-09-30,183.28,GSFC
2018-12-31,183.28,GSFC
2019-03-31,183.28,GSFC
2019-05-22,183.28,GSFC
2019-08-06,183.28,GSFC
2019-08-26,183.72,GSFC
2019-09-30,179.61,GSFC
2019-10-24,179.61,GSFC
2020-01-30,179.61,GSFC
2020-03-31,183.72,GSFC
2020-06-18,183.72,GSFC
2020-08-12,183.72,GSFC
2020-09-07,172.19,GSFC
2020-09-30,192.02,GSFC
2020-11-03,192.02,GSFC
2021-02-02,192.02,GSFC
2021-03-31,172.19,GSFC
2021-05-27,172.19,GSFC
2021-08-11,172.19,GSFC
2021-09-07,231.89,GSFC
2021-09-30,258.8,GSFC
2021-10-28,258.8,GSFC
2022-01-28,258.8,GSFC
2022-03-31,231.89,GSFC
2022-05-26,231.89,GSFC
2022-07-21,231.89,GSFC
2022-09-08,295.43,GSFC
2022-09-30,295.42,GSFC
2022-11-09,295.42,GSFC
2023-02-07,295.42,GSFC
2023-03-31,295.43,GSFC
2023-05-25,295.43,GSFC
2023-08-08,295.43,GSFC
2023-08-30,302.15,GSFC
2023-09-30,309.78,GSFC
2023-11-07,309.78,GSFC
2024-02-06,309.78,GSFC
2024-03-31,302.15,GSFC
2024-05-21,302.15,GSFC
2024-08-05,302.15,GSFC
2024-09-04,319.39,GSFC
2024-09-30,336.78,GSFC
2024-11-12,336.78,GSFC
2025-02-10,336.78,GSFC
2012-09-27,45.52,GSPL
2013-03-31,45.52,GSPL
2013-09-05,53.93,GSPL
2014-03-31,53.93,GSPL
2014-08-30,60.16,GSPL
2015-03-31,60.16,GSPL
2015-09-03,67.14,GSPL
2016-03-31,67.15,GSPL
2016-08-30,70.76,GSPL
2017-03-31,70.77,GSPL
2017-09-06,80.3,GSPL
2018-03-31,80.3,GSPL
2018-06-30,80.3,GSPL
2018-09-03,43.07,GSPL
2018-12-31,43.07,GSPL
2019-03-31,43.07,GSPL
2019-05-09,43.07,GSPL
2019-08-02,43.07,GSPL
2019-08-30,58.43,GSPL
2019-09-30,74.18,GSPL
2019-11-08,74.18,GSPL
2020-02-13,74.18,GSPL
2020-03-31,58.43,GSPL
2020-06-08,58.43,GSPL
2020-08-06,58.43,GSPL
2020-09-02,86.58,GSPL
2020-09-30,97.32,GSPL
2020-11-11,97.31,GSPL
2021-02-10,97.31,GSPL
2021-03-31,86.59,GSPL
2021-06-03,86.59,GSPL
2021-08-09,86.59,GSPL
2021-09-06,113.27,GSPL
2021-09-30,127.33,GSPL
2021-11-03,127.33,GSPL
2022-02-10,127.33,GSPL
2022-03-31,113.27,GSPL
2022-05-12,113.27,GSPL
2022-08-04,113.27,GSPL
2022-09-07,140.35,GSPL
2022-09-30,154.47,GSPL
2022-11-11,154.47,GSPL
2023-02-13,154.47,GSPL
2023-03-31,140.35,GSPL
2023-05-11,140.35,GSPL
2023-08-04,140.35,GSPL
2023-08-23,167.47,GSPL
2023-09-30,176.47,GSPL
2023-11-06,176.47,GSPL
2024-02-14,176.47,GSPL
2024-03-31,167.47,GSPL
2024-05-08,167.47,GSPL
2024-08-08,167.47,GSPL
2024-08-31,191.86,GSPL
2024-09-30,198.33,GSPL
2024-11-07,198.33,GSPL
2025-02-07,198.33,GSPL
2016-09-09,22.13,GUJGASLTD
2017-03-31,22.13,GUJGASLTD
2017-09-07,24.17,GUJGASLTD
2018-03-31,24.17,GUJGASLTD
2018-06-30,24.17,GUJGASLTD
2018-09-01,27.11,GUJGASLTD
2019-02-08,27.11,GUJGASLTD
2019-03-31,27.11,GUJGASLTD
2019-05-06,27.11,GUJGASLTD
2019-07-30,27.11,GUJGASLTD
2019-08-28,32.04,GUJGASLTD
2019-09-30,41.67,GUJGASLTD
2019-11-05,41.67,GUJGASLTD
2020-02-05,41.67,GUJGASLTD
2020-03-31,32.04,GUJGASLTD
2020-06-05,32.04,GUJGASLTD
2020-08-04,32.04,GUJGASLTD
2020-09-02,48.19,GUJGASLTD
2020-09-30,54.69,GUJGASLTD
2020-11-05,54.69,GUJGASLTD
2021-02-05,54.69,GUJGASLTD
2021-03-31,48.19,GUJGASLTD
2021-06-01,48.19,GUJGASLTD
2021-08-05,48.19,GUJGASLTD
2021-09-06,65.04,GUJGASLTD
2021-09-30,74.06,GUJGASLTD
2021-10-28,74.06,GUJGASLTD
2022-02-08,74.06,GUJGASLTD
2022-03-31,65.04,GUJGASLTD
2022-05-10,65.04,GUJGASLTD
2022-08-03,65.04,GUJGASLTD
2022-08-10,81.78,GUJGASLTD
2022-09-30,91.23,GUJGASLTD
2022-11-10,91.23,GUJGASLTD
2023-02-13,91.23,GUJGASLTD
2023-03-31,81.78,GUJGASLTD
2023-05-10,81.78,GUJGASLTD
2023-08-02,81.78,GUJGASLTD
2023-09-04,102.09,GUJGASLTD
2023-09-30,102.92,GUJGASLTD
2023-11-02,102.92,GUJGASLTD
2024-02-13,102.92,GUJGASLTD
2024-03-31,102.09,GUJGASLTD
2024-05-06,102.09,GUJGASLTD
2024-08-06,102.09,GUJGASLTD
2024-09-06,112.18,GUJGASLTD
2024-09-30,115.86,GUJGASLTD
2024-11-06,115.86,GUJGASLTD
2025-02-05,115.86,GUJGASLTD
2011-04-21,41.94,GVT&D
2018-08-31,142.21,HAL
