Date,NPM,Ticker
2006-12-31,7.24,BAYERCROP
2005-03-31,6.25,BBTC
2005-06-30,4.77,BBTC
2005-09-30,2.14,BBTC
2005-12-31,5.88,BBTC
2006-03-31,8.12,BBTC
2006-06-30,5.37,BBTC
2006-09-30,3.74,BBTC
2006-12-31,2.65,BBTC
2007-03-31,9.35,BBTC
2007-06-30,5.91,BBTC
2007-09-30,2.6,BBTC
2007-12-31,0.7,BBTC
2008-03-31,9.11,BBTC
2008-06-30,7.12,BBTC
2008-09-30,6.08,BBTC
2008-12-31,2.03,BBTC
2009-03-31,25.22,BBTC
2009-06-30,6.3,BBTC
2009-09-30,6.34,BBTC
2009-12-31,8.17,BBTC
2010-03-31,7.78,BBTC
2010-06-30,7.9,BBTC
2010-09-30,7.46,BBTC
2010-12-31,4.29,BBTC
2011-03-31,40.29,BBTC
2011-06-30,4.34,BBTC
2011-09-30,3.01,BBTC
2011-12-31,3.22,BBTC
2012-03-31,4.35,BBTC
2012-06-30,4.31,BBTC
2012-09-30,3.58,BBTC
2012-12-31,3.89,BBTC
2013-03-31,8.1,BBTC
2013-06-30,4.91,BBTC
2013-09-30,2.34,BBTC
2013-12-31,0.19,BBTC
2014-03-31,0.18,BBTC
2014-06-30,-1.41,BBTC
2014-09-30,-1.29,BBTC
2014-12-31,-3.99,BBTC
2015-03-31,13.49,BBTC
2015-06-30,-1.83,BBTC
2015-09-30,-9.95,BBTC
2015-12-31,-16.39,BBTC
2016-03-31,-28.79,BBTC
2016-06-30,-5.63,BBTC
2016-09-30,-13.96,BBTC
2016-12-31,8.32,BBTC
2017-03-31,8.13,BBTC
2017-06-30,-3.23,BBTC
2017-09-30,-19.9,BBTC
2017-12-31,-1.4,BBTC
2018-03-31,-23.67,BBTC
2018-06-30,7.37,BBTC
2018-09-30,13.0,BBTC
2018-12-31,5.24,BBTC
2019-03-31,24.98,BBTC
2019-06-30,9.12,BBTC
2019-09-30,12.21,BBTC
2019-12-31,12.53,BBTC
2020-03-31,9.32,BBTC
2020-06-30,13.4,BBTC
2020-09-30,8.26,BBTC
2020-12-31,9.03,BBTC
2021-03-31,7.26,BBTC
2021-06-30,8.07,BBTC
2021-09-30,8.21,BBTC
2021-12-31,4.9,BBTC
2022-03-31,3.63,BBTC
2022-06-30,0.0,BBTC
2022-09-30,4.07,BBTC
2022-12-31,7.93,BBTC
2023-03-31,-0.04,BBTC
2023-06-30,1.55,BBTC
2023-09-30,9.88,BBTC
2023-12-31,16.92,BBTC
2024-03-31,13.19,BBTC
2024-06-30,11.67,BBTC
2024-09-30,10.85,BBTC
2024-12-31,13.76,BBTC
2017-03-31,5.13,BDL
2017-06-30,11.74,BDL
2017-09-30,9.53,BDL
2017-12-31,0.75,BDL
2018-03-31,16.65,BDL
2018-06-30,14.92,BDL
2018-09-30,4.68,BDL
2018-12-31,18.14,BDL
2019-03-31,14.15,BDL
2019-06-30,13.33,BDL
2019-09-30,16.14,BDL
2019-12-31,10.45,BDL
2020-03-31,21.52,BDL
2020-06-30,-248.14,BDL
2020-09-30,9.35,BDL
2020-12-31,10.72,BDL
2021-03-31,22.9,BDL
2021-06-30,-16.29,BDL
2021-09-30,8.58,BDL
2021-12-31,26.53,BDL
2022-03-31,20.84,BDL
2022-06-30,5.74,BDL
2022-09-30,14.18,BDL
2022-12-31,18.14,BDL
2023-03-31,19.14,BDL
2023-06-30,14.05,BDL
2023-09-30,23.89,BDL
2023-12-31,22.44,BDL
2024-03-31,33.81,BDL
2024-06-30,3.78,BDL
2024-09-30,22.49,BDL
2024-12-31,17.68,BDL
2005-03-31,15.72,BEL
2005-06-30,11.81,BEL
2005-09-30,17.7,BEL
2005-12-31,14.46,BEL
2006-03-31,18.08,BEL
2006-06-30,12.74,BEL
2006-09-30,18.02,BEL
2006-12-31,17.15,BEL
2007-03-31,20.59,BEL
2007-06-30,6.5,BEL
2007-09-30,17.14,BEL
2007-12-31,16.82,BEL
2008-03-31,21.28,BEL
2008-06-30,0.64,BEL
2008-09-30,15.71,BEL
2008-12-31,18.03,BEL
2009-03-31,20.32,BEL
2009-06-30,7.99,BEL
2009-09-30,18.14,BEL
2009-12-31,18.05,BEL
2010-03-31,10.43,BEL
2010-06-30,8.81,BEL
2010-09-30,10.64,BEL
2010-12-31,12.43,BEL
2011-03-31,19.02,BEL
2011-06-30,13.19,BEL
2011-09-30,11.66,BEL
2011-12-31,12.06,BEL
2012-03-31,14.53,BEL
2012-06-30,2.43,BEL
2012-09-30,7.54,BEL
2012-12-31,13.49,BEL
2013-03-31,21.34,BEL
2013-06-30,1.91,BEL
2013-09-30,5.69,BEL
2013-12-31,15.96,BEL
2014-03-31,21.18,BEL
2014-06-30,2.53,BEL
2014-09-30,11.36,BEL
2014-12-31,16.9,BEL
2015-03-31,24.69,BEL
2015-06-30,6.97,BEL
2015-09-30,13.32,BEL
2015-12-31,17.51,BEL
2016-03-31,23.1,BEL
2016-06-30,4.11,BEL
2016-09-30,20.33,BEL
2016-12-31,18.29,BEL
2017-03-31,19.85,BEL
2017-06-30,7.28,BEL
2017-09-30,16.68,BEL
2017-12-31,12.09,BEL
2018-03-31,15.43,BEL
2018-06-30,8.84,BEL
2018-09-30,17.15,BEL
2018-12-31,18.82,BEL
2019-03-31,15.41,BEL
