Ticker,GrangerFeatures
EICHERMOT,"Market-Cap-Sales_scaled, OPM_scaled, PriceToBookValue_scaled, IndianBondYieldRate_scaled, Sales_scaled"
EIDPARRY,"inflation-yearly_scaled, PriceToBookValue_scaled, BookValue_scaled, Volume_scaled, UnemploymentRate_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, Sales_scaled"
EIHOTEL,"EBITDA_scaled, Volume_scaled, PriceToBookValue_scaled, Sales_scaled"
ELECON,"PriceToBookValue_scaled, BookValue_scaled, Volume_scaled"
ELGIEQUIP,"50DayMA_scaled, 100DayMA_scaled, BookValue_scaled"
EMAMILTD,Volume_scaled
EMCURE,"GPM_scaled, EBITDA_scaled, BookValue_scaled, Sales_scaled, Market-Cap-Sales_scaled"
ENDURANCE,"Market-Cap-Sales_scaled, 50DayMA_scaled, GDP_scaled, Dollar-INR_scaled, GPM_scaled, inflation-Monthly_scaled, PriceToBookValue_scaled, UnemploymentRate_scaled"
ENGINERSIN,"100DayMA_scaled, PriceToBookValue_scaled, EBITDA_scaled"
EQUITASBNK,"NPM_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
ERIS,"Sales_scaled, Volume_scaled, EBITDA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
ESCORTS,"Sales_scaled, 50DayMA_scaled, OPM_scaled, inflation-Monthly_scaled"
EXIDEIND,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, Volume_scaled, 100DayMA_scaled"
FACT,"Market-Cap-Sales_scaled, 50DayMA_scaled, Volume_scaled, 100DayMA_scaled"
FEDERALBNK,"PriceToBookValue_scaled, Market-Cap-Sales_scaled"
FINCABLES,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled, Sales_scaled, CBOE_scaled, CrudeOil_scaled, Volume_scaled"
FINEORG,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, Volume_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled, BookValue_scaled"
FINPIPE,"Dollar-INR_scaled, Market-Cap-Sales_scaled"
FLUOROCHEM,"Volume_scaled, EBITDA_scaled, Sales_scaled, BookValue_scaled, CrudeOil_scaled"
FORTIS,"50DayMA_scaled, CrudeOil_scaled, Market-Cap-Sales_scaled"
FSL,"Volume_scaled, Sales_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, PriceToBookValue_scaled, BookValue_scaled, EBITDA_scaled"
GAEL,"BookValue_scaled, Market-Cap-Sales_scaled, NPM_scaled"
GAIL,CrudeOil_scaled
GESHIP,"50DayMA_scaled, CrudeOil_scaled, BookValue_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled"
GICRE,"Volume_scaled, NPM_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled"
GILLETTE,"Volume_scaled, 50DayMA_scaled, 100DayMA_scaled"
GLAND,"GDP_scaled, Sales_scaled, EBITDA_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled"
GLAXO,"100DayMA_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, Sales_scaled, EBITDA_scaled, Volume_scaled"
GLENMARK,"EBITDA_scaled, 50DayMA_scaled, 100DayMA_scaled, NPM_scaled, Sales_scaled"
GMDCLTD,"EBITDA_scaled, BookValue_scaled, PriceToBookValue_scaled, Sales_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, OPM_scaled, Volume_scaled, CrudeOil_scaled, CBOE_scaled"
GMRAIRPORT,"Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, Sales_scaled, Volume_scaled, EBITDA_scaled, CBOE_scaled"
GNFC,"Sales_scaled, EBITDA_scaled, Volume_scaled, 100DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled"
GODFRYPHLP,"Volume_scaled, EBITDA_scaled, BookValue_scaled, Sales_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled"
GODREJAGRO,"Sales_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, Volume_scaled, CrudeOil_scaled, 100DayMA_scaled, Dollar-INR_scaled"
GODREJCP,"Sales_scaled, EBITDA_scaled, Dollar-INR_scaled, CrudeOil_scaled, inflation-Monthly_scaled"
GODREJIND,"50DayMA_scaled, 100DayMA_scaled, Volume_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
GODREJPROP,"EBITDA_scaled, 50DayMA_scaled, Sales_scaled, 100DayMA_scaled, UnemploymentRate_scaled, CBOE_scaled, Market-Cap-Sales_scaled"
GPIL,"inflation-Monthly_scaled, GPM_scaled, NPM_scaled, OPM_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled"
GPPL,"100DayMA_scaled, EBITDA_scaled, Volume_scaled, 50DayMA_scaled, Sales_scaled"
GRANULES,"100DayMA_scaled, Market-Cap-Sales_scaled"
GRAPHITE,"PriceToBookValue_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, Volume_scaled, 50DayMA_scaled, Dollar-INR_scaled"
GRINDWELL,"Sales_scaled, EBITDA_scaled, PriceToBookValue_scaled, Volume_scaled"
GRINFRA,"PriceToBookValue_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, GDP_scaled, 50DayMA_scaled"
GRSE,"Volume_scaled, 50DayMA_scaled"
GSFC,"EBITDA_scaled, Sales_scaled, GPM_scaled"
GSPL,"Volume_scaled, 100DayMA_scaled, 50DayMA_scaled"
